Symbol,CompanyName,Industry,MarketCap
AKBA,Akebia Therapeutics,Biotechnology,212879570
AKLI,Akili,Health Information Services,32107018
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2109256063
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2208668000
AKR,Acadia Realty Trust,REIT - Retail,1507336467
AKRO,Akero Therapeutics,Biotechnology,1106953726
AKTS,Akoustis Technologies,Communication Equipment,40453153
AKTX,"Akari Therapeutics,",Biotechnology,15790819
AKYA,Akoya Biosciences,Medical Instruments & Supplies,216426042
AL,Air Lease,Rental & Leasing Services,4415543790
ALAR,Alarum Technologies,Software - Infrastructure,27468800
ALB,Albemarle,Specialty Chemicals,15020010470
ALBT,Avalon GloboCare,Real Estate Services,4485596
ALC,Alcon,Medical Instruments & Supplies,35404682000
ALCC,AltC Acquisition,Shell Companies,446521387
ALCO,Alico,Farm Products,227555445
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,155992600
ALDX,Aldeyra Therapeutics,Biotechnology,185877836
ALE,ALLETE,Utilities - Diversified,3526238490
ALEC,Alector,Biotechnology,514914768
ALEX,Alexander & Baldwin,REIT - Diversified,1257054079
ALG,Alamo Group,Farm & Heavy Construction Machinery,2307707016
ALGM,Allegro MicroSystems,Semiconductors,5166002160
ALGN,Align Technology,Medical Devices,16943806593
ALGS,Aligos Therapeutics,Biotechnology,43460445
ALGT,Allegiant Travel Company,Airlines,1382114132
ALHC,Alignment Healthcare,Healthcare Plans,1512800000
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,194466328
ALIT,Alight,Software - Application,4350586007
ALK,Alaska Air Group,Airlines,4559967330
ALKS,Alkermes,Biotechnology,4315542660
ALKT,Alkami Technology,Software - Application,2144686882
ALL,The Allstate Corporation,Insurance - Property & Casualty,36458232840
ALLE,Allegion,Security & Protection Services,9686483784
ALLG,Allego,Auto Parts,316353180
ALLK,Allakos,Biotechnology,272051293
ALLO,Allogene Therapeutics,Biotechnology,415644190
ALLR,Allarity Therapeutics,Biotechnology,2348971
ALLT,Allot,Software - Infrastructure,50115360
ALLY,Ally Financial,Credit Services,9073030400
ALNT,Allient,Electronic Components,447953896
